2026-09-17 14:25:11,101 - JOB [inspect_46mb] | Action: detect_watermarks | Time: 2026-09-17T14:25:11.098853 | Details: {'total_pages': 576, 'candidates_found': 0, 'sampled': 12, 'warning': None}
2026-09-17 14:27:15,222 - JOB [test_detect_46mb] | Action: detect_watermarks | Time: 2026-09-17T14:27:15.221514 | Details: {'total_pages': 576, 'candidates_found': 1, 'sampled': 12, 'warning': None}
2026-09-17 14:27:46,897 - JOB [test_slice_job] | Action: watermark_remove_done | Time: 2026-09-17T14:27:46.897156 | Details: {'total_pages': 10, 'output_path': 'D:\\Coding\\compressor_remover\\backend\\temp\\cleaned_test_slice_job.pdf'}
2026-09-17 14:28:37,200 - JOB [b24e2d5f-8225-4197-8bbd-13e06df597ef] | Action: detect_watermarks | Time: 2026-09-17T14:28:37.200064 | Details: {'total_pages': 10, 'candidates_found': 0, 'sampled': 10, 'warning': None}
2026-09-17 14:28:37,421 - JOB [9df2dba1-761d-42f7-8af5-d901fa80dd5f] | Action: detect_watermarks | Time: 2026-09-17T14:28:37.420951 | Details: {'total_pages': 10, 'candidates_found': 1, 'sampled': 10, 'warning': None}
2026-09-17 14:28:37,503 - JOB [a5e77700-97cf-4e37-9318-2f57ebe05aae] | Action: watermark_remove_done | Time: 2026-09-17T14:28:37.503085 | Details: {'total_pages': 10, 'output_path': 'D:\\Coding\\compressor_remover\\backend\\temp\\cleaned_a5e77700-97cf-4e37-9318-2f57ebe05aae.pdf'}
2026-09-17 14:28:37,750 - JOB [e55523f8-b4d0-4ed2-a4a5-d43229d31809] | Action: detect_watermarks | Time: 2026-09-17T14:28:37.750810 | Details: {'total_pages': 10, 'candidates_found': 1, 'sampled': 10, 'warning': None}
2026-09-17 14:28:37,864 - JOB [b7f236c3-a72b-46cc-a557-b81e84ee688f] | Action: watermark_remove_done | Time: 2026-09-17T14:28:37.864372 | Details: {'total_pages': 10, 'output_path': 'D:\\Coding\\compressor_remover\\backend\\temp\\cleaned_b7f236c3-a72b-46cc-a557-b81e84ee688f.pdf'}
2026-09-17 14:28:38,617 - JOB [9a2e9485-08f4-4b5a-9dbb-63f0f1b238f4] | Action: detect_watermarks | Time: 2026-09-17T14:28:38.617634 | Details: {'total_pages': 500, 'candidates_found': 1, 'sampled': 12, 'warning': None}
2026-09-17 14:28:40,963 - JOB [7ea44bf3-345f-4993-bab6-3b2acb39e2b3] | Action: watermark_remove_done | Time: 2026-09-17T14:28:40.963386 | Details: {'total_pages': 500, 'output_path': 'D:\\Coding\\compressor_remover\\backend\\temp\\cleaned_7ea44bf3-345f-4993-bab6-3b2acb39e2b3.pdf'}
2026-09-17 14:30:18,926 - JOB [2b56d278-17d6-411e-89c4-123ccf2fd2fd] | Action: detect_watermarks | Time: 2026-09-17T14:30:18.926536 | Details: {'total_pages': 10, 'candidates_found': 0, 'sampled': 10, 'warning': None}
